year,uf_name,born_alive,uf,age_group,pop,region_code,region_name,birth_rate
2007,Rio de Janeiro,216876,33,Total,7581498,3,Suldeste,28.605956237144692
2007,Rondônia,22996,11,Total,790500,1,Norte,29.09044908285895
2007,Roraima,9582,14,Total,214011,1,Norte,44.773399498156635
2007,Santa Catarina,81903,42,Total,3030524,4,Sul,27.026019262675366
2007,Sergipe,35801,28,Total,990340,2,Nordeste,36.150211038633195
2007,São Paulo,595408,35,Total,19989516,3,Suldeste,29.786013828448873
2007,Tocantins,25011,17,Total,687205,1,Norte,36.395253235933964
2008,Acre,17994,12,Total,367038,1,Norte,49.02489660471123
2008,Alagoas,58076,27,Total,1528789,2,Nordeste,37.98823774896339
2008,Amapá,15105,16,Total,327762,1,Norte,46.08526918922877
2008,Amazonas,75030,13,Total,1719400,1,Norte,43.63731534256136
2008,Bahia,221700,29,Total,6967938,2,Nordeste,31.81716025601835
2008,Ceará,133917,23,Total,4119576,2,Nordeste,32.507471642712744
2008,Distrito Federal,44173,53,Total,1213806,5,Centro-Oeste,36.3921417425849
2008,Espírito Santo,51852,32,Total,1734145,3,Suldeste,29.90061384716964
2008,Goiás,87462,52,Total,2947166,5,Centro-Oeste,29.67664529246062
2008,Maranhão,128302,21,Total,3258302,2,Nordeste,39.37695155329371
2008,Mato Grosso,49794,51,Total,1534664,5,Centro-Oeste,32.44619017583002
2008,Mato Grosso do Sul,41229,50,Total,1208481,5,Centro-Oeste,34.11638246691508
2008,Minas Gerais,260916,31,Total,9704734,3,Suldeste,26.88543549982926
2008,Paraná,151092,41,Total,5168841,4,Sul,29.2313112359231
2008,Paraíba,61964,25,Total,1837553,2,Nordeste,33.72093213093718
2008,Pará,151262,15,Total,3786729,1,Norte,39.945293154065155
2008,Pernambuco,145195,26,Total,4257408,2,Nordeste,34.10408398725234
2008,Piauí,52664,22,Total,1548397,2,Nordeste,34.01194913190868
2008,Rio Grande do Norte,49817,24,Total,1549765,2,Nordeste,32.14487357760693
2008,Rio Grande do Sul,135143,43,Total,5285956,4,Sul,25.566425448868664
2008,Rio de Janeiro,215844,33,Total,7649276,3,Suldeste,28.217572486598733
2008,Rondônia,26791,11,Total,798753,1,Norte,33.54103208376056
2008,Roraima,10103,14,Total,220414,1,Norte,45.83647136751749
2008,Santa Catarina,85262,42,Total,3071392,4,Sul,27.760051468519812
2008,Sergipe,36633,28,Total,1002267,2,Nordeste,36.55014083073672
2008,São Paulo,601795,35,Total,20193887,3,Suldeste,29.80085012855623
2008,Tocantins,25713,17,Total,697628,1,Norte,36.85775226911764
2009,Acre,16892,12,Total,376061,1,Norte,44.918244646480225
2009,Alagoas,55471,27,Total,1539548,2,Nordeste,36.030705116047045
2009,Amapá,14298,16,Total,337907,1,Norte,42.31341759714951
2009,Amazonas,75729,13,Total,1755127,1,Norte,43.14730500983689
2009,Bahia,217727,29,Total,6997100,2,Nordeste,31.11674836718069
2009,Ceará,131393,23,Total,4163142,2,Nordeste,31.561018096428132
2009,Distrito Federal,43932,53,Total,1239862,5,Centro-Oeste,35.432975605349625
2009,Espírito Santo,51457,32,Total,1753673,3,Suldeste,29.34241446381395
2009,Goiás,87485,52,Total,2991951,5,Centro-Oeste,29.240117903000417
2009,Maranhão,123635,21,Total,3295187,2,Nordeste,37.51987368243441
2009,Mato Grosso,48477,51,Total,1560953,5,Centro-Oeste,31.05602795215487
2009,Mato Grosso do Sul,40274,50,Total,1226110,5,Centro-Oeste,32.84697131578733
2009,Minas Gerais,252676,31,Total,9767865,3,Suldeste,25.868088881244777
2009,Paraná,149217,41,Total,5204091,4,Sul,28.673018976801135
2009,Paraíba,60021,25,Total,1849875,2,Nordeste,32.44597607946483
2009,Pará,143140,15,Total,3853019,1,Norte,37.15008931956993
2009,Pernambuco,141815,26,Total,4296031,2,Nordeste,33.01070220396454
